type,horse,weight,CO2,mpg
Car,510,4500,550.27,16.1
Car,510,4500,343.88,25.8
Car,552,4750,511.93,17.3
Car,552,4750,296.63,29.9
Car,565,4250,603.49,14.8
Car,565,4250,353.09,25.3
Car,420,4000,551.4037,16.0
Car,420,4000,333.29,26.5
Car,430,4000,529.36,16.7
Car,430,4000,306.95,28.8
Car,568,4500,536.18,16.5
Car,568,4500,309.22,28.7
Car,211,3875,292.0,30.3
Car,211,3875,199.0,44.6
Car,211,4000,308.0,28.7
Car,211,4000,374.0,23.7
Car,211,4000,365.0,24.1
Car,211,4000,323.0,27.4
Car,211,4000,203.0,43.7
Car,211,3875,368.0,24.1
Car,211,3875,363.0,24.1
Car,211,3875,301.0,29.4
Car,211,3875,314.0,28.2
Car,211,3875,200.0,44.4
Both,211,4000,309.0,28.6
Both,211,4000,338.0,26.2
Both,211,4000,332.0,26.6
Both,211,4000,282.0,31.4
Both,211,4000,189.0,46.9
Both,333,4250,374.0,23.7
Both,333,4250,393.0,22.6
Both,333,4250,233.0,38.1
Both,333,4500,362.0,24.4
Both,333,4500,379.0,23.4
Both,333,4500,488.0,18.1
Both,333,4500,448.0,19.8
Both,333,4500,363.0,24.3
Both,333,4500,391.0,22.7
Both,333,4500,236.0,37.6
Car,211,4250,422.0,21.0
Car,211,4250,343.0,25.7
Car,211,4250,429.0,20.6
Car,211,4250,358.0,24.8
Car,211,4250,219.0,40.5
Both,240,4500,297.0,34.3
Both,240,4500,297.0,34.3
Both,240,4500,297.0,34.3
Both,240,4500,329.0,30.9
Both,240,4500,329.0,30.9
Both,240,4500,329.0,30.9
Both,240,4500,409.0,24.8
Both,240,4500,409.0,24.8
Both,240,4500,409.0,24.8
Both,240,4500,358.0,28.4
Both,240,4500,358.0,28.4
Both,240,4500,358.0,28.4
Both,240,4500,309.0,32.9
Both,240,4500,309.0,32.9
Both,240,4500,309.0,32.9
Both,240,4500,194.0,52.5
Both,240,4500,194.0,52.5
Both,240,4500,194.0,52.5
Both,240,4500,333.0,30.5
Both,240,4500,333.0,30.5
Both,240,4500,333.0,30.5
Both,272,4750,387.0,22.9
Both,272,4750,384.0,23.2
Both,272,4750,475.0,18.6
Both,272,4750,388.0,22.9
Both,272,4750,464.0,19.2
Both,272,4750,396.0,22.5
Both,272,4750,251.0,35.5
Truck,211,4500,358.0,24.8
Truck,211,4500,230.0,38.6
Both,211,4500,229.0,27.1
Both,211,4500,357.0,17.4
Both,240,4750,417.0,24.4
Both,240,4750,417.0,24.4
Both,240,4750,417.0,24.4
Both,240,4750,361.0,28.2
Both,240,4750,361.0,28.2
Both,240,4750,361.0,28.2
Both,240,4750,358.0,28.4
Both,240,4750,358.0,28.4
Both,240,4750,358.0,28.4
Both,240,4750,356.0,28.5
Both,240,4750,356.0,28.5
Both,240,4750,356.0,28.5
Both,240,4750,231.0,44.0
Both,240,4750,231.0,44.0
Both,240,4750,231.0,44.0
Both,240,4750,351.0,29.0
Both,240,4750,351.0,29.0
Both,240,4750,351.0,29.0
Both,240,4750,340.0,29.9
Both,240,4750,340.0,29.9
